binlogoptype,binlogtime,id,role_id,privilege_id
0,1667973764000000,27131,328,0
0,1667973764000000,27259,389,13
0,1667973764000000,27353,389,114
0,1667973764000000,27356,389,117
0,1667973764000000,27359,389,120
0,1667973764000000,27363,389,124
0,1667973764000000,27364,389,125
0,1667973764000000,27450,390,0
0,1667973764000000,27451,391,0
0,1667973764000000,27453,392,13
0,1667973764000000,27454,393,0
0,1667973764000000,27461,397,0
0,1667973764000000,27462,398,0
0,1667973764000000,27464,399,13
0,1667973764000000,27466,399,13
0,1667973764000000,27468,399,13
0,1667973764000000,27469,399,13
0,1667973764000000,27478,399,13
0,1667973764000000,27481,399,13
0,1667973764000000,27485,399,13
0,1667973764000000,27488,401,0
0,1667973764000000,27493,404,0
0,1667973764000000,27639,409,13
0,1667973764000000,27650,415,0
0,1667973764000000,27664,422,13
0,1667973764000000,27667,422,13
0,1667973764000000,27682,422,183
0,1667973764000000,27943,427,0
0,1667973764000000,27944,428,0
0,1667973764000000,27954,430,13
0,1667973764000000,28048,430,114
0,1667973764000000,28051,430,117
0,1667973764000000,28054,430,120
0,1667973764000000,28058,430,124
0,1667973764000000,28059,430,125
0,1667973764000000,28064,430,132
0,1667973764000000,28066,430,133
0,1667973764000000,28069,430,136
0,1667973764000000,28071,430,138
0,1667973764000000,28094,430,162
0,1667973764000000,28110,430,178
0,1667973764000000,28111,430,179
0,1667973764000000,28114,430,183
0,1667973764000000,28192,440,13
0,1667973764000000,28194,440,13
0,1667973764000000,28221,442,0
0,1667973764000000,28222,443,0
0,1667973764000000,28227,446,13
0,1667973764000000,28237,446,13
0,1667973764000000,28238,446,13
0,1667973764000000,28241,446,13
0,1667973764000000,28243,446,13
0,1667973764000000,28247,446,13
0,1667973764000000,28252,446,13
0,1667973764000000,28254,446,13
0,1667973764000000,27369,389,132
0,1667973764000000,27371,389,133
0,1667973764000000,27374,389,136
0,1667973764000000,27376,389,138
0,1667973764000000,27399,389,162
0,1667973764000000,27415,389,178
0,1667973764000000,27416,389,179
0,1667973764000000,27419,389,183
0,1667973764000000,29601,537,132
0,1667973764000000,29603,537,133
0,1667973764000000,29606,537,136
0,1667973764000000,29608,537,138
0,1667973764000000,29631,537,162
0,1667973764000000,29647,537,178
0,1667973764000000,29648,537,179
0,1667973764000000,29651,537,183
0,1667973764000000,29660,537,13
0,1667973764000000,29663,538,0
0,1667973764000000,29682,539,13
0,1667973764000000,29776,539,114
0,1667973764000000,29779,539,117
0,1667973764000000,29782,539,120
0,1667973764000000,29786,539,124
0,1667973764000000,29787,539,125
0,1667973764000000,29792,539,132
0,1667973764000000,29794,539,133
0,1667973764000000,29797,539,136
0,1667973764000000,29799,539,138
0,1667973764000000,29822,539,162
0,1667973764000000,29838,539,178
0,1667973764000000,29839,539,179
0,1667973764000000,29842,539,183
0,1667973764000000,29851,540,0
0,1667973764000000,29852,541,0
0,1667973764000000,30152,547,0
0,1667973764000000,30157,550,0
0,1667973764000000,30164,553,13
0,1667973764000000,30233,558,0
0,1667973764000000,30234,559,0
0,1667973764000000,30235,560,0
0,1667973764000000,30301,565,13
0,1667973764000000,30303,566,0
0,1667973764000000,30304,567,114
0,1667973764000000,30305,567,132
0,1667973764000000,30306,567,138
0,1667973764000000,30307,567,162
0,1667973764000000,30308,567,179
0,1667973764000000,30309,567,13
0,1667973764000000,30316,568,13
0,1667973764000000,30351,576,13
0,1667973764000000,30356,578,0
0,1667973764000000,30357,579,0
0,1667973764000000,30367,580,13
0,1667973764000000,30369,581,0
0,1667973764000000,30563,584,13
0,1667973764000000,30567,585,13
0,1667973764000000,30576,586,13
0,1667973764000000,30586,586,13
0,1667973764000000,30872,588,0
0,1667973764000000,31089,591,0
0,1667973764000000,31090,592,0
0,1667973764000000,31134,595,0
0,1667973764000000,31144,597,0
0,1667973764000000,31203,599,13
0,1667973764000000,31206,599,13
0,1667973764000000,31221,599,183
0,1667973764000000,31223,599,13
0,1667973764000000,31225,599,13
0,1667973764000000,31228,599,13
0,1667973764000000,31231,599,13
0,1667973764000000,31234,599,13
0,1667973764000000,31236,600,0
0,1667973764000000,31238,601,13
0,1667973764000000,31240,602,13
0,1667973764000000,31248,602,13
0,1667973764000000,31251,603,13
0,1667973764000000,31353,606,13
0,1667973764000000,31355,607,13
0,1667973764000000,31357,607,13
0,1667973764000000,31358,607,13
0,1667973764000000,31369,607,13
0,1667973764000000,31383,608,13
0,1667973764000000,31385,608,13
0,1667973764000000,31386,608,13
0,1667973764000000,31404,608,13
0,1667973764000000,31409,609,13
0,1667973764000000,31410,609,13
0,1667973764000000,31412,609,13
0,1667973764000000,31423,609,13
0,1667973764000000,31429,610,13
0,1667973764000000,31431,610,13
0,1667973764000000,31432,610,13
0,1667973764000000,31442,610,13
0,1667973764000000,31445,612,0
0,1667973764000000,31448,614,0
0,1667973764000000,31449,615,13
0,1667973764000000,31452,616,13
0,1667973764000000,31454,616,13
0,1667973764000000,31455,617,0
0,1667973764000000,31472,619,13
0,1667973764000000,31482,619,13
0,1667973764000000,31484,619,13
0,1667973764000000,31487,619,13
0,1667973764000000,31492,620,13
0,1667973764000000,31497,621,13
0,1667973764000000,31498,621,13
0,1667973764000000,31508,621,13
0,1667973764000000,31530,621,13
0,1667973764000000,31532,622,13
0,1667973764000000,31536,624,13
0,1667973764000000,31538,624,13
0,1667973764000000,31541,624,13
0,1667973764000000,31543,624,13
0,1667973764000000,31550,624,13
0,1667973764000000,31552,624,13
0,1667973764000000,31554,624,13
0,1667973764000000,31731,626,0
0,1667973764000000,31818,629,13
0,1667973764000000,31819,630,0
0,1667973764000000,32009,632,13
0,1667973764000000,32010,633,0
0,1667973764000000,32028,635,13
0,1667973764000000,32037,636,13
0,1667973764000000,32131,636,114
0,1667973764000000,32134,636,117
0,1667973764000000,32137,636,120
0,1667973764000000,32141,636,124
0,1667973764000000,32142,636,125
0,1667973764000000,32147,636,132
0,1667973764000000,32149,636,133
0,1667973764000000,32152,636,136
0,1667973764000000,32154,636,138
0,1667973764000000,32177,636,162
0,1667973764000000,32193,636,178
0,1667973764000000,32194,636,179
0,1667973764000000,32197,636,183
0,1667973764000000,28256,446,13
0,1667973764000000,28259,446,13
0,1667973764000000,28261,446,13
0,1667973764000000,28266,446,13
0,1667973764000000,28268,446,13
0,1667973764000000,28270,446,13
0,1667973764000000,28281,446,13
0,1667973764000000,28290,446,13
0,1667973764000000,28296,446,13
0,1667973764000000,28322,446,13
0,1667973764000000,28327,446,13
0,1667973764000000,28337,446,13
0,1667973764000000,28339,446,13
0,1667973764000000,28340,446,13
0,1667973764000000,28343,446,13
0,1667973764000000,28403,467,0
0,1667973764000000,28406,468,0
0,1667973764000000,28407,469,0
0,1667973764000000,28408,470,0
0,1667973764000000,28409,471,0
0,1667973764000000,28411,472,13
0,1667973764000000,28419,472,13
0,1667973764000000,28513,472,114
0,1667973764000000,28516,472,117
0,1667973764000000,28519,472,120
0,1667973764000000,28523,472,124
0,1667973764000000,28524,472,125
0,1667973764000000,28529,472,132
0,1667973764000000,28531,472,133
0,1667973764000000,28534,472,136
0,1667973764000000,28536,472,138
0,1667973764000000,28559,472,162
0,1667973764000000,28575,472,178
0,1667973764000000,28576,472,179
0,1667973764000000,28579,472,183
0,1667973764000000,28592,472,13
0,1667973764000000,28594,472,13
0,1667973764000000,28608,475,0
0,1667973764000000,28609,476,0
0,1667973764000000,28616,480,0
0,1667973764000000,28625,485,0
0,1667973764000000,28837,487,0
0,1667973764000000,28839,488,13
0,1667973764000000,29257,499,0
0,1667973764000000,29258,500,0
0,1667973764000000,29301,521,13
0,1667973764000000,29338,525,0
0,1667973764000000,29410,536,13
0,1667973764000000,29415,536,13
0,1667973764000000,29417,536,13
0,1667973764000000,29419,536,13
0,1667973764000000,29420,536,13
0,1667973764000000,29430,536,13
0,1667973764000000,29435,537,13
0,1667973764000000,29448,537,13
0,1667973764000000,29466,537,13
0,1667973764000000,29481,537,183
0,1667973764000000,29483,537,13
0,1667973764000000,29491,537,13
0,1667973764000000,29585,537,114
0,1667973764000000,29588,537,117
0,1667973764000000,29591,537,120
0,1667973764000000,29595,537,124
0,1667973764000000,29596,537,125
0,1667973764000000,32216,637,0
0,1667973764000000,32217,638,0
0,1667973764000000,32222,640,13
0,1667973764000000,32237,640,183
0,1667973764000000,32238,640,13
0,1667973764000000,32248,640,13
0,1667973764000000,32254,640,13
0,1667973764000000,32256,640,13
0,1667973764000000,32258,640,13
0,1667973764000000,32259,640,114
0,1667973764000000,32260,640,117
0,1667973764000000,32261,640,120
0,1667973764000000,32264,640,124
0,1667973764000000,32265,640,125
0,1667973764000000,32266,640,132
0,1667973764000000,32267,640,138
0,1667973764000000,32268,640,162
0,1667973764000000,32269,640,178
0,1667973764000000,32270,640,179
0,1667973764000000,32271,640,133
0,1667973764000000,32272,640,13
0,1667973764000000,32330,643,13
0,1667973764000000,32332,644,0
0,1667973764000000,32341,645,13
0,1667973764000000,32344,645,13
0,1667973764000000,32348,646,0
0,1667973764000000,32358,647,13
0,1667973764000000,32373,648,13
0,1667973764000000,32379,649,13
0,1667973764000000,32387,650,13
0,1667973764000000,32390,651,13
0,1667973764000000,32409,653,0
0,1667973764000000,32410,654,0
0,1667973764000000,32436,657,0
0,1667973764000000,32438,658,13
0,1667973764000000,32439,659,0
0,1667973764000000,32455,662,13
0,1667973764000000,32458,662,13
0,1667973764000000,32460,662,13
0,1667973764000000,32463,662,13
0,1667973764000000,32477,665,13
0,1667973764000000,32486,666,13
0,1667973764000000,32498,666,13
0,1667973764000000,32500,666,13
0,1667973764000000,32504,666,13
0,1667973764000000,32538,667,13
0,1667973764000000,32632,667,114
0,1667973764000000,32635,667,117
0,1667973764000000,32638,667,120
0,1667973764000000,32642,667,124
0,1667973764000000,32643,667,125
0,1667973764000000,32648,667,132
0,1667973764000000,32650,667,133
0,1667973764000000,32653,667,136
0,1667973764000000,32655,667,138
0,1667973764000000,32678,667,162
0,1667973764000000,32694,667,178
0,1667973764000000,32695,667,179
0,1667973764000000,32698,667,183
0,1667973764000000,32711,667,13
0,1667973764000000,32716,667,13
0,1667973764000000,32717,667,114
0,1667973764000000,32718,667,117
0,1667973764000000,32719,667,120
0,1667973764000000,32722,667,124
0,1667973764000000,32723,667,125
0,1667973764000000,32724,667,132
0,1667973764000000,32725,667,138
0,1667973764000000,32726,667,162
0,1667973764000000,32727,667,178
